id,assoc,lat,lon,address,city,state,zip,website,founded,emp,vol,empVol,rev,fedFunds,childrenServed,totalEA,totalHousing,totalDV,oppZone,program1,program2,program3,program4,program5,congDist
AK01,YWCA Alaska,61.2172824,-149.8780167,324 E 5th Ave,Anchorage,AK,99501,'http://www.ywcaak.org/','1989',9,42,51,924466,,698,992,,,true,Health and Wellness,Economic Advancement,Racial Justice and Civil Rights,Children's and Family Development,,AL
AL01,YWCA Central Alabama,33.5186746,-86.8026353,309 North 23rd Street,Birmingham,AL,35203,'http://www.ywcabham.org/','1903',121,1016,1137,7899209,1637829,3962,55,385,9990,true,Domestic Violence and Safety,Children's and Family Development,Adult and Community ,Racial Justice and Civil Rights,Women's and Girls' Empowerment,6
AZ01,YWCA Metropolitan Phoenix,33.4824364,-111.9863375,"2999 N. 44th Street, Suite 250",Phoenix,AZ,85018,'http://www.ywcaaz.org/','1912',32,113,145,1132616,335000,15,115,,,false,Adult and Community ,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Economic Advancement,Racial Justice and Civil Rights,9
AZ02,YWCA Southern Arizona,32.2276434,-110.9871187,525 N. Bonita Avenue,Tucson,AZ,85745,'http://www.ywcatucson.org/','1917',25,59,84,1747350,263500,1000,202,,118,true,Economic Advancement,Health and Wellness,Domestic Violence and Safety,Women's and Girls' Empowerment,Children's and Family Development,3
CA01,YWCA Berkeley/Oakland,37.8687772,-122.2565884,2600 Bancroft Way,Berkeley,CA,94704,'http://www.ywca-berkeley.org/','1889',15,1210,1225,513682,,5523,761,,,false,Women's and Girls' Leadership Development,Children's and Family Development,Racial Justice and Civil Rights,Health and Wellness,Economic Advancement,13
CA02,YWCA Contra Costa County/Sacramento,37.99274,-122.0993063,1320 Arnold Drive Suite 170,Martinez,CA,94553,'http://www.ywcaccc.org/','1891',50,18,68,2919015,1120001,493,,32,,false,Children's and Family Development,Housing,,,,5|11
CA03,YWCA Glendale,34.1520393,-118.2457145,735 East Lexington Ave.,Glendale,CA,91206,'http://www.glendaleywca.org/','1926',31,61,92,2100926,1300000,402,,,525,false,Domestic Violence and Safety,Immigrant and Refugee,Fitness and Athletics,Economic Advancement,Children's and Family Development,28
CA04,YWCA Greater Los Angeles,34.0414287,-118.2598984,"1020 South Olive Street, 7th Fl",Los Angeles,CA,90015,'http://www.ywcagla.org/','1894',159,50,209,29378354,2090000,1028,3562,750,25229,false,Women's and Girls' Empowerment,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Adult and Community ,Health and Wellness,37|40
CA05,YWCA Monterey County,36.6745874,-121.6542251,236 Monterey Street,Salinis,CA,93901,'http://www.ywca.org/montereycounty','1970',20,17,37,1605576,1409648,1285,,,1174,true,Domestic Violence and Safety,,,,,20
CA06,YWCA North Orange County,34.093699,-118.122225,"215 E. Commonwealth Avenue, #F",Fullerton,CA,92822,'http://www.ywcanoc.org/','1946',8,155,163,359229,15000,545,142,200,1500,false,Health and Wellness,Economic Advancement,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,,39|46
CA07,YWCA Pasadena-Foothill Valley,34.1469718,-118.1210309,"50 N. Hill Ave, Suite 301",Pasadena,CA,91106,'http://www.ywca.org/site/pp.aspx?c=biIMI2NNKgKYF&b=8083783','1905',5,63,68,289150,80000,643,457,,,false,Economic Advancement,Women's and Girls' Leadership Development,Women's and Girls' Empowerment,Children's and Family Development,Adult and Community ,27
CA08,YWCA San Diego County,32.7170836,-117.155328,1012 C Street,San Diego,CA,92101,'http://www.ywcasandiego.org/','1908',56,483,539,4195247,2170866,5290,,675,7997,false,Domestic Violence and Safety,Housing,,,,49|50|51|52
CA09,YWCA San Francisco & Marin,37.7934919,-122.4092654,940 Powell Street,San Francisco,CA,94108,'http://www.ywcasf-marin.org/','1878',21,89,110,2417720,2100000,100,451,114,,false,Women's and Girls' Leadership Development,Economic Advancement,Women's and Girls' Empowerment,Adult and Community ,Housing,2|12
CA10,YWCA San Gabriel Valley,34.0969477,-117.8728558,943 North Grand Avenue,Covina,CA,91724,'http://www.ywcasgv.org/','1935',133,10,143,10115124,,840,55,40,1738,false,Domestic Violence and Safety,Adult and Community ,Children's and Family Development,Housing,Economic Advancement,32
CA11,YWCA Silicon Valley,37.3314888,-121.8845554,375 South Third Street,San Jose,CA,95112,'http://www.ywca-sv.org/','1914',77,442,519,8251311,2638399,1495,200,77,1458,true,Domestic Violence and Safety,Children's and Family Development,Economic Advancement,Women's and Girls' Leadership Development,,17|19
CA12,YWCA Sonoma County,38.441467,-122.709698,"P.O. Box 3506, 811 Third Street",Santa Rosa,CA,95402,'http://www.ywcasc.org/','1975',39,43,82,2500733,,666,,,2517,true,Domestic Violence and Safety,Children's and Family Development,Women's and Girls' Empowerment,,,5
CA13,YWCA Watsonville,36.9143897,-121.7504172,340 E. Beach Street,Watsonville,CA,95076,'http://www.ywca.org/watsonville','1929',19,5,24,702764,,840,160,,,false,Children's and Family Development,Economic Advancement,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Health and Wellness,20
CO01,YWCA Boulder County,40.0213277,-105.2781277,2222 14th Street,Boulder,CO,80302,'http://www.ywcaboulder.org/','1922',31,6522,6553,1204915,,4278,241,,,false,Racial Justice and Civil Rights,Children's and Family Development,Economic Advancement,,,2
CO02,YWCA Pueblo,38.2747743,-104.6075548,801 N Sante Fe Avenue,Pueblo,CO,81003,'http://www.ywcapueblo.com/','1914',26,40,66,937298,,744,,,1214,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Fitness and Athletics,Children's and Family Development,Adult and Community ,3
CT01,YWCA Darien Norwalk,41.0803298,-73.4644196,49 Old Kings Highway N.,Darien,CT,06820,'http://www.ywcadn.org/','1976',6,240,246,266169,,110,,,,false,Children's and Family Development,Adult and Community ,,,,4
CT02,YWCA Greenwich,41.0375965,-73.618421,259 East Putnam Avenue,Greenwich,CT,06830,'http://www.ywcagreenwich.org/','1919',120,29,149,6519583,,276,155,47,743,false,Domestic Violence and Safety,Children's and Family Development,Fitness and Athletics,Adult and Community ,Racial Justice and Civil Rights,4
CT03,YWCA Hartford Region,41.7677094,-72.6866786,135 Broad Street,Hartford,CT,06105,'http://www.ywcahartford.org/','1867',121,372,493,6119904,786749,305,,,,true,Children's and Family Development,Women's and Girls' Empowerment,Economic Advancement,Women's and Girls' Leadership Development,Housing,1
CT04,YWCA New Britain,41.6639618,-72.7809217,22 Glen Street,New Britain,CT,06051,'http://www.ywcanewbritain.org/','1910',163,99,262,5525063,1127000,1401,225,,,true,Fitness and Athletics,Sexual Assault and Trafficking,Children's and Family Development,Economic Advancement,Women's and Girls' Leadership Development,5
DC01,YWCA National Capital Area,38.9206603,-77.0314674,"2303 14th Street NW, Suite 100",Washington,DC,20009,'https://www.ywcanca.org/','1905',53,58,111,1856569,300000,126,529,,,false,Economic Advancement,,,,,AL
DE01,YWCA Delaware,39.745739,-75.5488407,"100 W. 10th Street, Ste 515",Wilmington,DE,19801,'http://www.ywcade.org/','1895',50,251,301,3263622,1157001,1758,2066,251,267,true,Economic Advancement,Racial Justice and Civil Rights,Sexual Assault and Trafficking,Housing,Domestic Violence and Safety,AL
FL01,YWCA Miami,25.7791239,-80.2007793,351 NW 5th Street,Miami,FL,33128,'http://www.ywca-miami.org/','1919',250,250,500,5153655,,6852,54,,,true,Children's and Family Development,Health and Wellness,Economic Advancement,Racial Justice and Civil Rights,,24|27
FL02,YWCA Palm Beach County,26.7222704,-80.052984,1016 North Dixie Highway,West Palm Beach,FL,33401,'http://www.ywcapbc.org/','1917',48,68,116,2758694,381323,813,389,583,1156,false,Domestic Violence and Safety,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Leadership Development,,20|22
GA01,YWCA Greater Atlanta,33.7806571,-84.3533222,957 North Highland Avenue,Atlanta,GA,30306,'http://www.ywcaatlanta.org/','1902',40,45,85,2083425,44366,1017,134,,,false,Health and Wellness,Children's and Family Development,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Economic Advancement,5
HI01,YWCA Hawaii Island,19.7235034,-155.0888891,145 Ululani Street,Hilo,HI,96720,'http://www.ywcahawaiiisland.org/','1919',54,30,84,2707506,541264,,,,,true,Children's and Family Development,Sexual Assault and Trafficking,,,,2
HI02,YWCA Kauai County,21.9767467,-159.3664259,3094 Elua Street,Lihue,HI,96766,'http://www.ywcakauai.org/','1921',45,57,102,2229230,532452,,,,4871,false,Racial Justice and Civil Rights,Domestic Violence and Safety,Children's and Family Development,Sexual Assault and Trafficking,Economic Advancement,2
HI03,YWCA O'ahu,21.3078684,-157.8600897,1040 Richards Street,Honolulu,HI,96813,'http://www.ywcaoahu.org/','1900',131,139,270,4870094,,1734,2100,,,false,Fitness and Athletics,Women's and Girls' Leadership Development,Economic Advancement,Housing,,1|2
IA01,YWCA Ames-Iowa State University,42.0256035,-93.6505629,210 Lab of Mechanics,Ames,IA,50011,'http://www.ywcaames.org/','1890',6,73,79,62121,,172,112,,,false,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Children's and Family Development,Economic Advancement,Women's and Girls' Empowerment,4
IA02,YWCA Black Hawk County,42.5001089,-92.3362199,425 Lafayette Street,Waterloo,IA,50703,'http://www.ywcabhc.org/','1911',194,108,302,1171132,,2415,496,,,true,Fitness and Athletics,Children's and Family Development,Health and Wellness,Adult and Community ,Economic Advancement,1
IA03,YWCA Clinton,41.838609,-90.1913344,"317 Seventh Avenue, S",Clinton,IA,52732,'http://www.ywcaclinton.org/','1915',175,73,248,2501013,481762,129,11,220,,true,Fitness and Athletics,Racial Justice and Civil Rights,Housing,Children's and Family Development,Women's and Girls' Empowerment,2
IA04,YWCA Fort Dodge,42.5065061,-94.1867301,826 First Avenue North,Fort Dodge,IA,50501,'http://www.ywca.org/site/pp.asp?c=ljJZJ6MLIuE&b=2619033','1909',23,12,35,1164056,,,,,,true,Health and Wellness,Women's and Girls' Empowerment,,,,4
IA05,YWCA Marshalltown,42.0396485,-92.9151347,108 Washington Street,Marshalltown,IA,50158,'http://www.ymca-ywca.org/','1909',76,103,179,856524,,1140,90,41,1024,false,Fitness and Athletics,Adult and Community ,Immigrant and Refugee,Children's and Family Development,,1
ID01,YWCA Lewiston Clarkston,46.4214159,-117.0294893,300 Main Street,Lewiston,ID,83501,'http://www.ywcaidaho.org/','1919',21,444,465,1434647,941528,36,1555,,,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Children's and Family Development,Sexual Assault and Trafficking,Housing,1
IL01,YWCA Alton,38.890994,-90.1815535,304 E. Third Street,Alton,IL,62002,'http://www.altonywca.com/','1918',28,30,58,388730,,,,,,false,Children's and Family Development,Health and Wellness,Fitness and Athletics,,,12
IL02,YWCA Canton (IL),40.5572853,-90.0364944,111 North Ave A,Canton,IL,61520,'https://www.facebook.com/YWCA-CantonIL-1520364231511318/','1920',52,100,152,2717943,2656000,262,,,,false,Women's and Girls' Empowerment,Children's and Family Development,Racial Justice and Civil Rights,Fitness and Athletics,Women's and Girls' Leadership Development,7
IL03,YWCA Elgin,42.037473,-88.2813883,220 E. Chicago Street,Elgin,IL,60120,'http://www.ywcaelgin.org/','1901',46,301,347,1355351,445000,279,710,,,false,Women's and Girls' Empowerment,Economic Advancement,Racial Justice and Civil Rights,Immigrant and Refugee,Children's and Family Development,8
IL04,YWCA Evanston/North Shore,42.0491323,-87.6891125,1215 Church Street,Evanston,IL,60201,'https://www.kintera.org/site/c.ewK0LoO8LmK6F/b.7964321/k.BD08/Home.htm','1931',85,447,532,4300000,117717,8310,192,,9728,false,Racial Justice and Civil Rights,Domestic Violence and Safety,Fitness and Athletics,Economic Advancement,,9
IL05,YWCA Kankakee,41.1186975,-87.851263,1086 E. Court Street,Kankakee,IL,60901,'http://www.myunitedway.org/ywca','1907',21,327,348,595658,500000,1858,153,130,1389,true,Children's and Family Development,Health and Wellness,,,,2
IL06,YWCA Lake County,42.3783131,-87.9524351,"1425 Tri-State Parkway, Suite 180",Gurnee,IL,60031,'http://www.ywcalakecounty.org/','1922',47,125,172,3129599,,6057,109,200,,false,Health and Wellness,Economic Advancement,Women's and Girls' Leadership Development,Children's and Family Development,,10|14
IL07,YWCA McLean County,40.4906161,-88.9424252,1201 Hershey Road,Bloomington,IL,61704,'http://www.ywcamclean.org/','1908',180,424,604,3750206,,3552,448,200,6395,false,Sexual Assault and Trafficking,Adult and Community ,Racial Justice and Civil Rights,Children's and Family Development,Economic Advancement,18
IL08,YWCA Metropolitan Chicago,41.8823113,-87.6320215,"One N. LaSalle, Suite 1150",Chicago,IL,60602,'http://www.ywcachicago.org/','1876',148,100,248,22014239,6388063,48000,276,,55000,false,Children's and Family Development,Sexual Assault and Trafficking,Economic Advancement,Racial Justice and Civil Rights,Health and Wellness,1|2|4|7|8
IL09,YWCA Northwestern Illinois,42.2671366,-89.0206108,4990 E. State Street,Rockford,IL,61108,'http://www.ywcanwil.org/','1891',45,36,81,1935510,,405,473,42,,false,Economic Advancement,Racial Justice and Civil Rights,Children's and Family Development,Immigrant and Refugee,Domestic Violence and Safety,16|17
IL10,YWCA Pekin,40.566815,-89.6469878,315 Buena Vista,Pekin,IL,61554,'http://www.kintera.org/site/c.duIRJcNZKlL4G/b.8192635/k.BE45/Home.htm','1927',95,86,181,1442529,,708,,,,false,Fitness and Athletics,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Leadership Development,,17
IL11,YWCA Quad Cities,41.5099864,-90.5771786,229 16th Street,Rock Island,IL,61201,'http://www.qcywca.org/','1917',33,43,76,1400000,833000,262,278,,,false,Children's and Family Development,Economic Advancement,Fitness and Athletics,Adult and Community ,Racial Justice and Civil Rights,17
IL12,YWCA Quincy,39.9296583,-91.4051424,"639 York Street, Suite 202",Quincy,IL,62301,'http://www.ywcaquincy.org/','1905',6,16,22,695086,,96,,117,,false,Adult and Community ,Housing,,,,18
IL13,YWCA Sauk Valley,41.7900922,-89.6949739,412 First Avenue,Sterling,IL,61081,'http://www.ywca.org/saukvalley','1924',38,42,80,1201748,788000,469,187,,32604,false,Children's and Family Development,Domestic Violence and Safety,Immigrant and Refugee,Women's and Girls' Empowerment,Economic Advancement,17
IL14,YWCA University of Illinois,40.1065783,-88.2292274,1001 South Wright Street,Champaign,IL,61820,'http://www.ywcauofi.org/','1884',2.5,20,22.5,143717,,28,225,,,true,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Economic Advancement,Women's and Girls' Leadership Development,,13
IN01,YWCA Evansville,37.9721857,-87.5751142,118 Vine St,Evansville,IN,47708,'http://www.ywcaevansville.org/','1911',38,250,288,1601272,210879,402,,179,370,true,Domestic Violence and Safety,Housing,Children's and Family Development,,,8
IN02,YWCA Greater Lafayette,40.423037,-86.8901546,605 North Sixth Street,Lafayette,IN,47901,'http://www.ywcalafayette.org/','1927',81,1117,1198,2573143,453000,6155,220,474,9733,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Racial Justice and Civil Rights,Health and Wellness,Fitness and Athletics,4
IN03,YWCA Muncie,40.1913275,-85.3839318,310 E. Charles Street,Muncie,IN,47305,'http://www.muncieywca.org/','1911',13,13,26,459372,,134,228,,,true,Economic Advancement,Adult and Community ,,,,6
IN04,YWCA North Central Indiana,41.6634427,-86.243229,1102 S. Fellows Street,South Bend,IN,46601,'http://www.ywcancin.org/','1903',65,191,256,3634026,1330000,678,103,131,1094,true,Domestic Violence and Safety,Health and Wellness,Economic Advancement,Sexual Assault and Trafficking,Housing,2
IN05,YWCA Northeast Indiana,41.0887755,-85.134102,1610 Spy Run Avenue,Fort Wayne,IN,46805,'http://www.ywca.org/nein','1894',51,103,154,3110789,200000,1530,42,325,4230,true,Children's and Family Development,Domestic Violence and Safety,Housing,Racial Justice and Civil Rights,Immigrant and Refugee,3
IN06,YWCA Northwest Indiana,41.5884929,-87.3389366,150 W 15th Avenue,Gary,IN,46407,'http://www.ywcanwi.org/','1920',21,17,38,478262,,462,,,,false,Women's and Girls' Empowerment,Economic Advancement,Fitness and Athletics,Children's and Family Development,Health and Wellness,1
KS01,YWCA Northeast Kansas,39.0432077,-95.6790957,225 SW 12th Street,Topeka,KS,66612,'http://www.ywcaneks.org/','1887',96,310,406,1976287,350000,4645,51,,,true,Domestic Violence and Safety,Fitness and Athletics,Sexual Assault and Trafficking,Health and Wellness,Children's and Family Development,2
LA01,YWCA Alexandria-Pineville,31.2683498,-92.4925436,5912 James Street,Alexandria,LA,71303,'http://www.ywcaalex.org/','1946',49,325,374,798165,,1500,,,,false,Fitness and Athletics,Children's and Family Development,Women's and Girls' Leadership Development,,,5
LA02,YWCA Greater Baton Rouge,30.4430075,-91.100661,"8281 Goodwood Boulevard, Suite B1",Baton Rouge,LA,70806,'http://www.ywca-br.org/','1967',67,173,240,2689193,,316,,,,false,,,,,,2|6
LA03,YWCA Greater New Orleans,29.9518573,-90.067925,P.O. Box 50255 (no office),New Orleans,LA,70150,'http://www.ywca.org/neworleans','1911',1,8,9,63379,,1242,,32,,true,,,,,,2
LA04,YWCA Northwest Louisiana,32.493039,-93.74795,850-B Olive Street,Shreveport,LA,71104,'http://www.ywcanwla.org/','1925',9,23,32,232202,146000,14072,,2549,17489,false,Sexual Assault and Trafficking,Health and Wellness,Children's and Family Development,Women's and Girls' Leadership Development,Domestic Violence and Safety,4
MA01,YWCA Boston,42.3486204,-71.0745635,"140 Claredon Street, Suite 403",Boston,MA,02116,'http://www.ywboston.org/','1866',23,23,46,1381914,,2414,,,,false,Children's and Family Development,Racial Justice and Civil Rights,Health and Wellness,Adult and Community ,,7
MA02,YWCA Cambridge,42.3666849,-71.1043422,7 Temple Street,Cambridge,MA,02139,'http://www.ywcacam.org/','1889',43,43,86,1497805,8000,592,,149,,false,Racial Justice and Civil Rights,Housing,Women's and Girls' Leadership Development,,,5|7
MA03,YWCA Central Massachusetts,42.2600388,-71.7988947,1 Salem Square,Worcester,MA,01608,'http://www.ywcacentralmass.org/','1885',204,279,483,6308473,,4056,150,66,4399,true,Domestic Violence and Safety,Fitness and Athletics,Women's and Girls' Empowerment,Children's and Family Development,Racial Justice and Civil Rights,2
