id,assoc,lat,lon,address,city,state,zip,website,founded,emp,vol,empVol,rev,fedFunds,childrenServed,totalEA,totalHousing,totalDV,oppZone,program1,program2,program3,program4,program5,congDist
OH08,YWCA Hamilton,39.4017755,-84.5595164,244 Dayton Street,Hamilton,OH,45011,'http://www.ywcahamilton.com/','1900',23,99,122,1260573,216000,183,,,3050,false,Domestic Violence and Safety,Women's and Girls' Empowerment,Economic Advancement,Health and Wellness,Housing,1|8|10
OH09,YWCA Lorain,41.461252,-82.1833443,200 W 9th St,Lorain,OH,44052,'http://ywcalorain.org/about.html','1950',,,0,,,,120,,174,true,,,,,,4|9
OH10,YWCA Mahoning Valley,40.939678,-80.586651,25 West Rayen Avenue,Youngstown,OH,45356,'https://www.facebook.com/YWCAMahoningValley/','1904',44,155,199,1657162,770355,2525,100,,,false,Sexual Assault and Trafficking,Adult and Community ,Racial Justice and Civil Rights,Health and Wellness,Children's and Family Development,6|13|14
OH11,YWCA Northwest Ohio,41.6533672,-83.5417683,1018 Jefferson Avenue,Toledo,OH,43952,'http://www.ywcanwo.org/','1891',77,263,340,4285838,3082193,,6834,,14,false,Economic Advancement,Adult and Community ,Housing,,,9
OH12,YWCA Piqua,40.1502982,-84.241383,418 N Wayne Street,Piqua,OH,45891,'http://www.ywca.org/site/apps/nlnet/content2.aspx?c=cuIRJ7NTKrLaG&b=7534269&ct=12761519&notoc=1','1919',8,193,201,288638,,190,,,,false,Fitness and Athletics,Racial Justice and Civil Rights,Children's and Family Development,Housing,Domestic Violence and Safety,4
OH13,YWCA Steubenville,40.3640042,-80.6127039,320 N. Fourth Street,Steubenville,OH,44481,'https://www.facebook.com/YWCA-Steubenville-Ohio-136078316502519/','1913',4,25,29,66538,,,35,17,,true,Women's and Girls' Empowerment,Children's and Family Development,Racial Justice and Civil Rights,Economic Advancement,Women's and Girls' Leadership Development,6
OH14,YWCA Van Wert County,40.8693692,-84.5777445,408 E. Main Street,Van Wert,OH,44503,'https://www.facebook.com/YWCA-of-Van-Wert-County-207741459248478/','1916',50,117,167,623154,363872,966,,55,16,true,Children's and Family Development,Housing,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Racial Justice and Civil Rights,5
OK01,YWCA Enid,36.3913548,-97.8874366,525 South Quincy,Enid,OK,73701,'http://www.ywcaenid.com/','1920',17,132,149,859111,154531,,,,,true,,,,,,3
OK02,YWCA Oklahoma City,35.5126035,-97.5528326,2460 NW I-44 Service Road,Oklahoma City,OK,73112,'http://www.ywcaokc.org/','1907',123,424,547,3870525,815761,2616,190,6,1649,false,Domestic Violence and Safety,Women's and Girls' Empowerment,Sexual Assault and Trafficking,Economic Advancement,Racial Justice and Civil Rights,5
OK03,YWCA Tulsa,36.1404485,-95.9920918,1503 S Denver Ave,Tulsa,OK,74119,'http://www.ywcatulsa.org/','1914',84,418,502,2818633,,2057,,,,false,Immigrant and Refugee,Fitness and Athletics,Health and Wellness,,,1
OR01,YWCA Greater Portland,45.5163747,-122.6149932,"P.O. Box 16130, 4610 SE Belmont St",Portland,OR,97292,'http://www.ywcapdx.org/','1901',27,512,539,1435508,389429,842,95,128,,false,Housing,Racial Justice and Civil Rights,Adult and Community ,Domestic Violence and Safety,Economic Advancement,3
PA01,YWCA Allentown,40.600321,-75.4801855,1101 West Hamilton Street,Allentown,PA,18101,'https://www.facebook.com/YWCAAllentown/','1885',168,48,216,1085697,58000,5,534,,,true,Economic Advancement,,,,,15
PA02,YWCA Bethlehem,40.66976,-75.38254,"3895 Adler Place, Bldg A, Ste 180",Bethlehem,PA,18017,'http://www.ywcabethlehem.com/','1927',19,263,282,614026,,315,60,,,false,Adult and Community ,Fitness and Athletics,Economic Advancement,Health and Wellness,,15|17
PA03,YWCA Bradford,41.9548926,-78.6522088,24 W. Corydon Street,Bradford,PA,16701,'http://www.ywcabradford.org/','1915',52,33,85,2351448,,,9,76,2374,true,Children's and Family Development,Domestic Violence and Safety,Sexual Assault and Trafficking,Housing,Adult and Community ,5
PA04,YWCA Butler,40.860162,-79.8963137,120 W. Cunningham Street,Butler,PA,16001,'http://www.ywcaofbutler.com/','1912',47,11,58,944289,,37,,37,,true,Racial Justice and Civil Rights,Housing,Adult and Community ,,,3
PA05,YWCA Carlisle,40.2153418,-77.1952643,301 G Street,Carlisle,PA,17013,'http://www.ywcacarlisle.org/','1919',20,262,282,1000000,189685,12514,3000,,6050,true,Health and Wellness,Sexual Assault and Trafficking,Women's and Girls' Empowerment,Economic Advancement,Women's and Girls' Leadership Development,11
PA06,YWCA Gettysburg & Adams County,39.8281486,-77.2475338,909 Fairfield Road,Gettysburg,PA,17325,'http://www.ywcagettysburg.org/','1926',155,570,725,3403283,,1439,119,36,,false,Fitness and Athletics,Adult and Community ,Children's and Family Development,Racial Justice and Civil Rights,Health and Wellness,4
PA07,YWCA Greater Harrisburg,40.2641828,-76.8723002,1101 Market Street,Harrisburg,PA,17103,'http://www.ywcahbg.org/','1894',86,47,133,6294412,,16275,175,300,30989,true,Health and Wellness,Domestic Violence and Safety,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Housing,4|11
PA08,YWCA Greater Johnston,40.3208306,-78.9169915,526 Somerset Street,Johnstown,PA,15901,'http://www.1ywcajohnstown.org/','1913',35,59,94,350265,,208,,,,true,Fitness and Athletics,Children's and Family Development,,,,12
PA09,YWCA Greater Pittsburgh,40.4392206,-80.0017052,305 Wood Street,Pittsburgh,PA,15222,'http://www.ywcapgh.org/','1867',149,50,199,72546956,61780443,813,350,750,2506,false,Women's and Girls' Empowerment,Economic Advancement,Health and Wellness,Racial Justice and Civil Rights,Domestic Violence and Safety,12|14
PA10,YWCA Hanover,39.8011159,-76.9857222,23 West Chestnut Street,Hanover,PA,17331,'http://www.ywcahanover.org/','1920',36,148,184,1542916,401955,,,,,false,Domestic Violence and Safety,Children's and Family Development,Racial Justice and Civil Rights,,,4
PA11,YWCA Lancaster,40.0402999,-76.3020252,110 N. Lime Street,Lancaster,PA,17602,'http://www.ywcalancaster.org/','1889',125,177,302,3987314,1125000,110,,16,562,false,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Empowerment,Housing,16
PA12,YWCA Northcentral PA,41.2391369,-77.0181213,815 West Fourth Street,Williamsport,PA,17701,'http://www.ywcawilliamsport.org/','1893',32,139,171,1599578,695045,4522,,974,10215,true,Domestic Violence and Safety,Sexual Assault and Trafficking,Children's and Family Development,Women's and Girls' Empowerment,Racial Justice and Civil Rights,10
PA13,YWCA Oil City,41.427765,-79.710337,109 Central Avenue,Oil City,PA,16301,'http://www.ocywca.org/','1924',15,8,23,300241,,199,,8,,true,Fitness and Athletics,Health and Wellness,Housing,,,5
PA14,YWCA Titusville,41.6282674,-79.6733648,201 N. Franklin Street,Titusville,PA,16354,'http://www.ywcatitusville.org/','1917',6,42,48,350158,,232,,75,,false,Fitness and Athletics,Children's and Family Development,Housing,Health and Wellness,,3|5
PA15,YWCA Tri-County Area,40.2465402,-75.6466737,315 King Street,Pottstown,PA,19464,'http://www.ywcatricountyarea.org/','1908',37,19,56,2000000,1175000,780,,,,true,Health and Wellness,Children's and Family Development,Immigrant and Refugee,,,6
PA16,YWCA Westmoreland County,40.308775,-79.546813,424 N. Main Street,Greensburg,PA,15601,'http://www.ywcawestmoreland.org/','1959',25,118,143,675661,,349,300,,,false,Adult and Community ,Women's and Girls' Empowerment,Racial Justice and Civil Rights,Economic Advancement,Women's and Girls' Leadership Development,12|18
PA17,YWCA York,39.9640629,-76.721007,320 East Market Street,York,PA,17403,'http://www.ywcayork.org/','1891',169,301,470,6200000,888878,3101,,578,8543,false,Domestic Violence and Safety,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Children's and Family Development,Fitness and Athletics,4
PA18,YWCA Bucks County,42.0053351,-71.5212662,514 Blackstone Street,Woonsocket,PA ,02895,'http://www.ywcari.org/','1867',69,16,85,1066811,,2731,100,,,false,Racial Justice and Civil Rights,Children's and Family Development,Fitness and Athletics,Housing,Sexual Assault and Trafficking,
RI01,YWCA Rhode Island,32.7995266,-80.0181172,"1064 Gardner Road, Suite 113",Charleston,RI,29407,'http://www.ywca-charlestonsc.org/','1907',80,68,148,3500758,25000,826,678,122,,false,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Economic Advancement,,,1
SC01,YWCA Greater Charleston,33.9279485,-80.3466874,246 Church Street,Sumter,SC,29150,'http://www.ywca.org/site/pp.asp?c=hhLNKYPELsF&b=5044707','1967',7,88,95,251014,,124,9,,,false,Domestic Violence and Safety,Children's and Family Development,Economic Advancement,Immigrant and Refugee,,1
SC02,YWCA Upper Lowlands,44.3608519,-98.214176,17 5th St SW,Huron,SC,57350,'https://www.facebook.com/YWCA-of-Huron-134500706624329/','1919',24,44,68,475769,,22,286,,5103,true,,,,,,5|6
TN01,YWCA Greater Memphis,35.963302,-83.9195119,420 West Clinch Avenue,Knoxville,TN,37902,'http://www.ywcaknox.com/','1899',43,15,58,2505012,250000,,,,,true,Children's and Family Development,Fitness and Athletics,Domestic Violence and Safety,Economic Advancement,Housing,8|9
TN02,YWCA Knoxville and the Tennessee Valley,35.1106221,-89.9455333,766 South Highland,Memphis,TN,38111,'http://www.memphisywca.org/','1919',41,83,124,1225405,,529,83,98,,true,Domestic Violence and Safety,Economic Advancement,Health and Wellness,Housing,Immigrant and Refugee,2
TN03,YWCA Nashville & Middle Tennessee,36.1136922,-86.8022661,1608 Woodmont Boulevard,Nashville,TN,37215,'https://ywcanashville.com/','1898',78,1846,1924,4316696,910000,11027,3684,,10428,false,Domestic Violence and Safety,Children's and Family Development,Adult and Community ,Women's and Girls' Empowerment,Economic Advancement,5|7
TN04,YWCA Northeast Tennessee & Southeast Virginia,36.5940717,-82.1779941,106 State Street,Bristol,TN,37620,'http://www.ywcabristol.org/','1943',80,186,266,2004444,,5201,101,98,3300,false,Women's and Girls' Leadership Development,Children's and Family Development,Health and Wellness,Fitness and Athletics,Racial Justice and Civil Rights,1
TX01,YWCA Beaumont,30.0833769,-94.148156,"4347 Phelan Blvd., Suite 107",Beaumont,TX,77707,'http://www.ywcabeaumont.org/','1911',,15,15,33022,,140,40,,,false,Economic Advancement,Women's and Girls' Empowerment,Children's and Family Development,,,14
TX02,YWCA Corpus Christi,27.7132504,-97.3893161,4601 Corona Drive,Corpus Christi,TX,78411,'http://www.ywcacc.org/','1945',34,59,93,877174,,2927,,,,false,Women's and Girls' Leadership Development,Fitness and Athletics,Adult and Community ,,,27
TX03,YWCA El Paso del Norte Region,31.7610556,-106.4883121,"201 E. Main St., Suite 400",El Paso,TX,79901,'http://www.ywcaelpaso.org/','1909',362,1190,1552,26925822,,9849,2088,372,,false,Fitness and Athletics,Children's and Family Development,Economic Advancement,Racial Justice and Civil Rights,Housing,16
TX04,YWCA Greater Austin,30.236631,-97.7382992,"2015 S IH 35, Suite 110",Austin,TX,78741,'http://www.ywcaaustin.org/','1885',19,49,68,1195942,935605,736,,,1500,false,Health and Wellness,Children's and Family Development,Racial Justice and Civil Rights,Women's and Girls' Empowerment,,21
TX05,YWCA Houston,29.6890087,-95.3397677,6309 Martin Luther King,Houston,TX,77021,'http://www.ywcahouston.org/','1907',26,534,560,2053413,,1644,,25,,true,Adult and Community ,Economic Advancement,Racial Justice and Civil Rights,Children's and Family Development,Housing,18
TX06,YWCA Lubbock,33.5619713,-101.8818008,3101 35th Street,Lubbock,TX,79413,'http://www.ywcalubbock.org/','1955',269,493,762,7543027,2050136,1786,513,677,26,false,Economic Advancement,Health and Wellness,Children's and Family Development,Fitness and Athletics,Women's and Girls' Leadership Development,19
TX07,YWCA San Antonio,29.5105341,-98.3548065,6756 Montgomery Drive,San Antonio,TX,78239,'http://www.ywcasanantonio.org/','1910',71,11,82,2106042,137200,4173,3298,,,false,Immigrant and Refugee,Children's and Family Development,Economic Advancement,Health and Wellness,Fitness and Athletics,28
UT01,YWCA Utah,40.7624581,-111.8817659,322 East 300 South,Salt Lake City,UT,84111,'http://www.ywcautah.org/','1906',110,2338,2448,6879311,1199264,2464,,1061,4034,false,Domestic Violence and Safety,Women's and Girls' Leadership Development,Children's and Family Development,,,2
VA01,YWCA Central Virginia,37.4162869,-79.144523,626 Church Street,Lynchburg,VA,24504,'http://www.ywca.org/centralvirginia','1912',56,200,256,1286438,603823,1693,,20,14398,true,Domestic Violence and Safety,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Housing,6
VA02,YWCA South Hampton Roads,36.8470705,-76.287738,"500 East Plume Street, Suite 700",Norfolk,VA,23510,'http://www.ywca-shr.org/','1911',107,86,193,2369503,1015963,1737,174,,1699,false,Sexual Assault and Trafficking,Domestic Violence and Safety,Children's and Family Development,Economic Advancement,,3
VT01,YWCA Vermont,44.49334,-73.1195803,"76 Pearl Street, Suite 205",Essex Junction,VT,05452,'https://ywcavt.org/','1919',5,209,214,509344,,828,,,,false,Fitness and Athletics,Women's and Girls' Leadership Development,,,,AL
WA01,YWCA Bellingham,48.7452885,-122.4789339,1026 North Forest Street,Bellingham,WA,98225,'http://www.ywcabellingham.org/','1907',9,27,36,276363,,44,,700,,true,Housing,,,,,1|2
WA02,YWCA Clark County,45.647663,-122.6675376,3609 Main Street,Vancouver,WA,98663,'http://www.ywcaclarkcounty.org/','1916',77,500,577,3325767,708657,1850,,,1036,false,Sexual Assault and Trafficking,Domestic Violence and Safety,Children's and Family Development,,,3
WA03,YWCA Kitsap County,47.5699845,-122.6273226,"P.O. Box 559, 905 Pacific Avenue",Bremerton,WA,98337,'http://www.ywcakitsap.org/','1947',18,54,72,787422,55000,2250,262,139,976,true,Domestic Violence and Safety,,,,,6
WA04,YWCA North Central Washington,47.4254041,-120.3145948,212 First Street,Wenatchee,WA,98801,'http://ywcancw.org/','1957',10,53,63,424731,,2808,46,199,16,true,Racial Justice and Civil Rights,Housing,Economic Advancement,Women's and Girls' Leadership Development,Adult and Community ,8
WA05,YWCA Olympia,47.0393638,-122.8986038,220 Union Avenue SE,Olympia,WA,98501,'http://www.ywcaofolympia.org/','1945',11,198,209,609061,,1303,447,,,true,Economic Advancement,Women's and Girls' Empowerment,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Health and Wellness,10
WA06,YWCA Pierce County,47.260675,-122.44266,405 Broadway,Tacoma,WA,98402,'http://www.ywcapiercecounty.org/','1906',45,336,381,2689524,,1880,,,6000,false,Domestic Violence and Safety,Women's and Girls' Leadership Development,Children's and Family Development,Racial Justice and Civil Rights,Women's and Girls' Empowerment,6|9
WA07,YWCA Seattle|King|Snohomish,47.6079196,-122.3326552,1118 Fifth Avenue,Seattle,WA,98101,'http://www.ywcaworks.org/','1894',401,761,1162,31135043,5363064,4534,1135,9770,1870,false,Housing,Health and Wellness,Domestic Violence and Safety,Economic Advancement,Racial Justice and Civil Rights,7
WA08,YWCA Spokane,47.6662657,-117.4259026,930 N Monroe Street,Spokane,WA,99201,'http://www.ywcaspokane.org/','1903',75,275,350,3190738,1562217,703,1937,600,10329,true,Children's and Family Development,Economic Advancement,Domestic Violence and Safety,Housing,Health and Wellness,5
WA09,YWCA Walla Walla,46.0649663,-118.3357858,213 South First Street,Walla Walla,WA,99362,'http://www.ywcaww.org/','1917',63,182,245,1444482,276987,5865,256,,5395,false,Domestic Violence and Safety,Fitness and Athletics,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Children's and Family Development,2|5
WA10,YWCA Washington State University,46.7303384,-117.162492,"Wilson-Short Hall, 8C",Pullman,WA,99163,'https://women.wsu.edu/coalition-for-women-students/ywca-of-wsu/','1895',7,7,14,,,,,,100,false,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Domestic Violence and Safety,,,5
WA11,YWCA Yakima,46.598344,-120.5208125,818 West Yakima Avenue,Yakima,WA,98902,'http://www.ywcayakima.org/','1909',27,67,94,1332055,207764,4806,,368,6440,false,Children's and Family Development,,,,,4
WI01,YWCA Greater Green Bay,44.5109472,-88.0137045,230 South Madison Street,Green Bay,WI,54301,'http://www.ywcagreenbay.org/','1919',54,53,107,1511991,,,2400,,,false,,,,,,8
WI02,YWCA La Crosse,43.8656003,-91.2269096,3219 Commerce Street,La Crosse,WI,54603,'http://www.ywcalax.org/','1906',65,148,213,1352353,,11734,6289,,,false,Racial Justice and Civil Rights,Children's and Family Development,Housing,Economic Advancement,Women's and Girls' Leadership Development,3
WI03,YWCA Madison,43.0764718,-89.3838256,101 E. Mifflin Street,Madison,WI,53703,'http://www.ywcamadison.org/','1909',70,212,282,5246926,651000,683,168,293,45,false,Children's and Family Development,Racial Justice and Civil Rights,Housing,Economic Advancement,Women's and Girls' Leadership Development,2
WI04,YWCA Rock County,42.6540025,-89.0333337,1735 S Washington,Janesville,WI,53546,'http://www.ywcarockcounty.org/','1922',73,61,134,1772444,516630,1951,,246,999,false,Racial Justice and Civil Rights,Domestic Violence and Safety,Children's and Family Development,Women's and Girls' Empowerment,Immigrant and Refugee,1|2
WI05,YWCA Southeast Wisconsin,43.0556264,-87.914596,1915 N. Martin Luther King Dr.,Milwaukee,WI,53212,'http://www.ywcasew.org/','1892',53,100,153,7124575,1350000,142,8357,80,,true,Economic Advancement,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Housing,,1|4
WI06,YWCA Wausau,44.9619059,-89.6249564,613 Fifth Street,Wausau,WI,54403,'http://www.ywcawausau.org/','1920',2,59,61,695097,,,75,,,true,Women's and Girls' Empowerment,Economic Advancement,,,,7
WV01,YWCA Charleston (WV),38.3408696,-81.6263188,1426 Kanawha Boulevard East,Charleston,WV,25301,'http://www.ywcacharleston.org/','1912',91,1384,1475,3639281,685947,1390,711,523,1513,false,Domestic Violence and Safety,Children's and Family Development,Fitness and Athletics,Housing,Economic Advancement,2
WV02,YWCA Marion County,39.4451116,-80.1541129,2019 Pleasant Valley Road,Fairmont,WV,26554,'http://www.ywca.org/site/pp.asp?c=igLQIYOEKpF&b=900319','1922',4,12,16,85673,,1475,,,,false,Women's and Girls' Leadership Development,Children's and Family Development,Health and Wellness,,,1
WV03,YWCA Wheeling,40.0687079,-80.7211906,1100 Chapline Street,Wheeling,WV,26003,'http://www.ywcawheeling.org/','1906',53,691,744,1600359,,4256,6232,60,5272,true,Women's and Girls' Empowerment,Economic Advancement,Domestic Violence and Safety,Racial Justice and Civil Rights,Sexual Assault and Trafficking,1
WY04,YWCA Sweetwater County,41.5895558,-109.2501101,"P.O. Box 1667, 1035 Jackson St",Rock Springs,WY,82902,'http://www.ywcasweetwater.org/','1976',32,254,286,1407983,222410,248,852,79,183,false,Economic Advancement,Children's and Family Development,Domestic Violence and Safety,Sexual Assault and Trafficking,Housing,AL